First Name,Middle Name,Last Name,Suffix,Student No.,Student email,Parent 1 Prefix,Parent 1 First Name,Parent 1 Last Name,Parent 1 Suffix,Parent 1 email,Parent 2Prefix,Parent 2First Name,Parent2 Last Name,Parent2 Suffix,Parent2 email,Parent 3 Prefix,Parent 3 First Name,Parent 3 Last Name,Parent 3 Suffix,Parent3 email,N/A
Yolande,Tera,Abrego,N/A,1234,ytAbrego@ups.k12.com,Mrs.,Jane,Abrego,N/A,Abregoj@gmail.com,Mr.,Samual,Abrego,Sr.,Abregos@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Heidi,Ann,Addario,N/A,1235,haaddario@ups.k12.com,Mrs.,Sue,Addario,N/A,Addarios@gmail.com,Mr.,William,Addario,N/A,Addariow@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Melony,Haley,Adkisson,N/A,1236,mhadkisson@ups.k12.com,Ms.,Betty,Adkisson,N/A,Adkissonb@gmail.com,Mr.,Richard,Adkisson,N/A,Adkissonr@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Marline,Anne,Alfrey,N/A,1237,maalfrey@ups.k12.com,Ms.,Caroline,Alfrey,N/A,Alfreyv@gmail.com,Mr.,Raymond,Alfrey,N/A,Alfreyr@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Vincenza,Pauline,Auzenne,N/A,1238,vpauzenne@ups.k12.com,Mrs.,Vicki,Auzenne,N/A,Auzennev@gmail.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Katharine,Anna,Avis,N/A,1239,kaavis@ups.k12.com,Ms.,Mable,Avis,N/A,Avism@gmail.com,Mr.,Reese,Avis,N/A,Avisr@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Regan,Theresa,Bacchaus,N/A,1230,rtbacchaus@ups.k12.com,Ms.,Diane,Bacchaus,N/A,Bacchausd@gmail.com,Mr.,Zachary,Bacchaus,N/A,Bacchausz@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Maryulin,Henretta,Badger,N/A,1231,mhbadger@ups.k12.com,Dr.,Susan,Badger,N/A,Badgers@gmail.com,Mr.,Bob,Badger,N/A,Badgerb@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Marivel,Freeman,Bakke,N/A,1232,mfbakke@ups.k12.com,Mrs.,Grace,Bakke,N/A,Bakkeg@gmail.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Yahaira,Marie,Barber,N/A,1233,ymbarber@ups.k12.com,Mrs.,Linda,Barber,N/A,Barberl@gmail.com,Mr.,Bart,Barber,N/A,Barberb@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Renae,Bee,Barter,N/A,1210,rbbarter@ups.k12.com,Ms.,Heidi,Barter,N/A,Barterh@gmail.com,Mr.,Thomas,Barter,N/A,Bartert@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Tye,Charles,Beckel,Jr.,1211,tcbeckel@ups.k12.com,Mrs.,Bess,Beckel,N/A,Beckelb@gmail.com,Mr.,Tye,Beckel,Sr.,Beckelt@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Tyra,Charese,Beckel,N/A,1212,tcharese@ups.k12.com,Mrs.,Bess,Beckel,N/A,Beckelb@gmail.com,Mr.,Tye,Beckel,Sr.,beckelt@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Natalia,Georgia,Bielecki,N/A,1213,ngbielecki@ups.k12.com,Ms.,Kathy,Bielecki,N/A,Bieleckik@gmail.com,Mr.,Nathan,Bielecki,N/A,Bieleckin@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Joan,Lee,Bigsby,N/A,1214,jlbigsby@ups.k12.com,Ms.,Leaha,Bigsby,N/A,Bigsbyl@gmail.com,Mr.,Buddy,Bigsby,N/A,Bigsbyb@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Marylynn,Kenni,Binney,N/A,1215,mkbinney@ups.k12.com,Sgt.,Donyell,Binney,N/A,Binneyd@gmail.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Laverna,Ella,Bise,N/A,1216,lebise@ups.k12.com,Mrs.,Theresa,Bise,N/A,Biset@gmail.com,Mr.,Brad,Bise,N/A,Biseb@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Del,Thomas,Bittinger,N/A,1217,dtbittinger@ups.k12.com,Mrs.,Susan,Bittinger,N/A,Bittingers@gmail.com,Mr.,Louis,Bittinger,N/A,Bittingerl@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Jeannie,Ann,Blaisdell,N/A,1218,jablaisdell@ups.k12.com,Ms.,Shae,Blaisdell,N/A,Blaisdells@gmail.com,Mr.,Jeremy,Blaisdell,N/A,Blaisdellj@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Nelson,Lee,Blankenbaker,N/A,1219,nlblankenb@ups.k12.com,Ms.,Elizabeth,Blankenbaker,N/A,Blankenbakere@gmail.com,Mr.,Zach,Blankenbaker,N/A,Blankenbakerz@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Nigel,Y.,Boivin,N/A,1220,nybolvin@ups.k12.com,Mrs.,Yvonne,Boivin,N/A,Boiviny@gmail.com,Mr.,Richard,Boivin,N/A,Boivinr@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Bettyann,Gee,Boivin,N/A,1221,bgboivin@ups.k12.com,Ms.,Patricia,Boivin,N/A,Boivinp@gmail.com,Mr.,Raymond,Boivin,N/A,Boivinrt@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Carl,Lee,Boley,N/A,1222,clboley@ups.k12.com,Ms.,Jane,Boley,N/A,Boleyj@gmail.com,Mr.,Thomas,Boley,N/A,Boleyt@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Cedrick,Charles,Boley,N/A,1223,ccboley@ups.k12.com,Dr.,Sue,Boley,N/A,Boleys@gmail.com,Dr.,Reese,Boley,N/A,boleyr@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Jeanene,Mary,Boulanger,N/A,1224,jmboulanger@ups.k12.com,Mrs.,Betty,Boulanger,N/A,Boulangerb@gmail.com,Mr.,Zachary,Boulanger,N/A,Boulangerz@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Tenisha ,Yolanda,Brian,N/A,1225,tybrian@ups.k12.com,Mrs.,Caroline,Brian,N/A,Brianc@gmail.com,Mr.,Bob,Brian,N/A,Brianb@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Kyle,Clarence,Brown,N/A,1226,kcbrown@ups.k12.com,Ms.,Vicki,Brown,N/A,Brownv@gmail.com,Mr.,Barney,Brown,N/A,Brownb@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Page,Tera,Bryce,N/A,1227,ptbryce@ups.k12.com,Ms.,Mable,Bryce,N/A,Brycem@gmail.com,Mr.,Bart,Bryce,N/A,Bryceb@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Stephane,Ulan,Burt,N/A,1228,suburt@ups.k12.com,Mrs.,Diane,Burt,N/A,Burtd@gmail.com,Dr.,Lewis,Burt,N/A,Burtl@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Bennie,Harvey,Calfee,N/A,1229,bhcalfee@ups.k12.com,Ms.,Susan,Calfee,N/A,Calfees@gmail.com,Mr.,John,Calfee,N/A,Calfeek@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Samual,Stein,Carrara,IV,1240,sscarrara@ups.k12.com,Ms.,Grace,Carrara,N/A,Carrarag@gmail.com,Lt. Gen.,Samual,Carrara,III,Carraras@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Kenisha,Sue,Daily,N/A,1241,ksdaily@ups.k12.com,Dr.,Linda,Daily,N/A,Dailyl@gmail.com,Mr.,Jon,Daily,N/A,Dailyj@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Ernie,Frank,Dameron,N/A,1242,efdameron@ups.k12.com,Mrs.,Heidi,Dameron,N/A,Dameronh@gmail.com,Mr.,Ronald,Dameron,N/A,Dameronr@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Ines,Viloet,Danielson,N/A,1243,ivdanielson@ups.k12.com,Mrs.,Bess,Danielson,N/A,Danielsonb@gmail.com,Mr.,Phil,Danielson,N/A,Danielsonp@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Cherelle,Claire,Danko,N/A,1244,ccdanko@ups.k12.com,Ms.,Betsy,Danko,N/A,Dankob@gmail.com,Rev.,Ramon,Danko,N/A,Dankor@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
